"FIPS","Admin2","Province_State","Country_Region","Last_Update","Lat","Long_","Confirmed","Deaths","Recovered","Active","Combined_Key","Incidence_Rate","Case.Fatality_Ratio"
42021,"Cambria","Pennsylvania","US","2020-09-12",40.49527404,-78.71377428,515,6,0,509,"Cambria, Pennsylvania, US",395.569620253165,1.16504854368932
42023,"Cameron","Pennsylvania","US","2020-09-12",41.43625568,-78.20376845,8,0,0,8,"Cameron, Pennsylvania, US",179.8965594783,0
42025,"Carbon","Pennsylvania","US","2020-09-12",40.91545395,-75.7068525,436,28,0,408,"Carbon, Pennsylvania, US",679.318188900315,6.42201834862385
42027,"Centre","Pennsylvania","US","2020-09-12",40.92058903,-77.82200624,1062,11,0,1051,"Centre, Pennsylvania, US",654.001293222896,1.03578154425612
42029,"Chester","Pennsylvania","US","2020-09-12",39.97291773,-75.74768357,6187,362,0,5825,"Chester, Pennsylvania, US",1178.50088287564,5.85097785679651
42031,"Clarion","Pennsylvania","US","2020-09-12",41.19265812,-79.42413524,107,3,0,104,"Clarion, Pennsylvania, US",278.370362661949,2.80373831775701
42033,"Clearfield","Pennsylvania","US","2020-09-12",41.00110782,-78.47592663,270,1,0,269,"Clearfield, Pennsylvania, US",340.672512775219,0.37037037037037
42035,"Clinton","Pennsylvania","US","2020-09-12",41.23255967,-77.63785995,166,5,0,161,"Clinton, Pennsylvania, US",429.695589148892,3.01204819277108
42037,"Columbia","Pennsylvania","US","2020-09-12",41.04821986,-76.40565017,831,35,0,796,"Columbia, Pennsylvania, US",1279.17000184718,4.21179302045728
42039,"Crawford","Pennsylvania","US","2020-09-12",41.68447709,-80.10760592,245,2,0,243,"Crawford, Pennsylvania, US",289.498871545215,0.816326530612245
42041,"Cumberland","Pennsylvania","US","2020-09-12",40.1625372,-77.26130755,1649,73,0,1576,"Cumberland, Pennsylvania, US",650.826854007973,4.42692540933899
42043,"Dauphin","Pennsylvania","US","2020-09-12",40.41377078,-76.77993242,3543,169,0,3374,"Dauphin, Pennsylvania, US",1273.09117172537,4.7699689528648
42045,"Delaware","Pennsylvania","US","2020-09-12",39.91680171,-75.40243663,10811,739,0,10072,"Delaware, Pennsylvania, US",1907.55310570678,6.83563037646841
42047,"Elk","Pennsylvania","US","2020-09-12",41.42822061,-78.64524744,65,2,0,63,"Elk, Pennsylvania, US",217.318622534269,3.07692307692308
42049,"Erie","Pennsylvania","US","2020-09-12",41.99253829,-80.03301954,1411,37,0,1374,"Erie, Pennsylvania, US",523.119587139637,2.62225372076541
42051,"Fayette","Pennsylvania","US","2020-09-12",39.92041012,-79.64291195,733,7,0,726,"Fayette, Pennsylvania, US",567.012701703359,0.954979536152797
42053,"Forest","Pennsylvania","US","2020-09-12",41.51095103,-79.23229292,14,0,0,14,"Forest, Pennsylvania, US",193.183386228784,0
42055,"Franklin","Pennsylvania","US","2020-09-12",39.92956518,-77.72157791,1633,49,0,1584,"Franklin, Pennsylvania, US",1053.36489772749,3.0006123698714
42057,"Fulton","Pennsylvania","US","2020-09-12",39.92913544,-78.11163677,39,2,0,37,"Fulton, Pennsylvania, US",268.410185822436,5.12820512820513
42059,"Greene","Pennsylvania","US","2020-09-12",39.85746531,-80.22357106,156,1,0,155,"Greene, Pennsylvania, US",430.546739160434,0.641025641025641
42061,"Huntingdon","Pennsylvania","US","2020-09-12",40.42162652,-77.97673273,392,6,0,386,"Huntingdon, Pennsylvania, US",868.332447279816,1.53061224489796
42063,"Indiana","Pennsylvania","US","2020-09-12",40.65241041,-79.08963285,505,11,0,494,"Indiana, Pennsylvania, US",600.668466689663,2.17821782178218
42065,"Jefferson","Pennsylvania","US","2020-09-12",41.12913106,-78.9986361,101,2,0,99,"Jefferson, Pennsylvania, US",232.58491652274,1.98019801980198
42067,"Juniata","Pennsylvania","US","2020-09-12",40.53358749,-77.3997513,161,6,0,155,"Juniata, Pennsylvania, US",650.163550458345,3.72670807453416
42069,"Lackawanna","Pennsylvania","US","2020-09-12",41.43564672,-75.60379201,2262,214,0,2048,"Lackawanna, Pennsylvania, US",1078.81759302536,9.46065428824049
42071,"Lancaster","Pennsylvania","US","2020-09-12",40.03904563,-76.24770128,7238,445,0,6793,"Lancaster, Pennsylvania, US",1326.31146880108,6.148107211937
42073,"Lawrence","Pennsylvania","US","2020-09-12",40.99206278,-80.33393706,480,21,0,459,"Lawrence, Pennsylvania, US",561.324726354196,4.375
42075,"Lebanon","Pennsylvania","US","2020-09-12",40.36680311,-76.45651841,1807,57,0,1750,"Lebanon, Pennsylvania, US",1274.3929531077,3.15439955727726
42077,"Lehigh","Pennsylvania","US","2020-09-12",40.6154815,-75.59435245,5348,345,0,5003,"Lehigh, Pennsylvania, US",1448.07455905209,6.45100972326103
42079,"Luzerne","Pennsylvania","US","2020-09-12",41.17823008,-75.98447579,3926,189,0,3737,"Luzerne, Pennsylvania, US",1236.85876937908,4.81406011207336
42081,"Lycoming","Pennsylvania","US","2020-09-12",41.34310539,-77.06629984,582,23,0,559,"Lycoming, Pennsylvania, US",513.685028111457,3.95189003436426
42083,"McKean","Pennsylvania","US","2020-09-12",41.80938602,-78.56478358,44,2,0,42,"McKean, Pennsylvania, US",108.307692307692,4.54545454545455
42085,"Mercer","Pennsylvania","US","2020-09-12",41.30248872,-80.25816981,619,13,0,606,"Mercer, Pennsylvania, US",565.689428278988,2.10016155088853
