index,FIPS,Admin2,Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,Combined_Key,Incidence_Rate,Case-Fatality_Ratio
944,9001.0,Fairfield,Connecticut,US,2020-09-15,41.26809896,-73.3881171,19558,1419,0,18139.0,"Fairfield, Connecticut, US",2073.2891495252998,7.255343082114736
945,9003.0,Hartford,Connecticut,US,2020-09-15,41.80283011,-72.73103891,14099,1431,0,12668.0,"Hartford, Connecticut, US",1581.1016911138024,10.149656003971911
946,9005.0,Litchfield,Connecticut,US,2020-09-15,41.7937534,-73.2451475,1798,140,0,1658.0,"Litchfield, Connecticut, US",997.0443568287557,7.7864293659621815
947,9007.0,Middlesex,Connecticut,US,2020-09-15,41.45949668,-72.53714864,1527,193,0,1334.0,"Middlesex, Connecticut, US",940.0625477110983,12.639161755075312
948,9009.0,New Haven,Connecticut,US,2020-09-15,41.408032500000004,-72.93620426,14082,1111,0,12971.0,"New Haven, Connecticut, US",1647.4857766593313,7.8895043317710565
949,9011.0,New London,Connecticut,US,2020-09-15,41.48896435,-72.10430976,1682,111,0,1571.0,"New London, Connecticut, US",634.2239617504882,6.5992865636147435
950,9013.0,Tolland,Connecticut,US,2020-09-15,41.85853803,-72.3308481,1281,65,0,1216.0,"Tolland, Connecticut, US",849.9147431346661,5.07416081186573
951,90009.0,Unassigned,Connecticut,US,2020-09-15,,,126,0,0,126.0,"Unassigned, Connecticut, US",,0.0
952,9015.0,Windham,Connecticut,US,2020-09-15,41.82972709,-71.98182316,878,15,0,863.0,"Windham, Connecticut, US",751.8281927009299,1.7084282460136675
953,10001.0,Kent,Delaware,US,2020-09-15,39.08646628,-75.56884914,2815,113,0,2702.0,"Kent, Delaware, US",1557.0895976458355,4.014209591474245
954,10003.0,New Castle,Delaware,US,2020-09-15,39.57992638,-75.64054974,9262,306,0,8956.0,"New Castle, Delaware, US",1657.6197353750226,3.3038220686676745
955,10005.0,Sussex,Delaware,US,2020-09-15,38.66143781,-75.39031349,6567,199,0,6368.0,"Sussex, Delaware, US",2803.714377201409,3.0303030303030303
956,90010.0,Unassigned,Delaware,US,2020-09-15,,,493,0,0,493.0,"Unassigned, Delaware, US",,0.0
1849,24001.0,Allegany,Maryland,US,2020-09-15,39.62357628,-78.69280486,429,22,0,407.0,"Allegany, Maryland, US",609.2365371506478,5.128205128205129
1850,24003.0,Anne Arundel,Maryland,US,2020-09-15,39.00670238,-76.60329337,9302,240,0,9062.0,"Anne Arundel, Maryland, US",1605.9140174782556,2.5800903031606106
1851,24005.0,Baltimore,Maryland,US,2020-09-15,39.45784712,-76.62911955,16905,613,0,16292.0,"Baltimore, Maryland, US",2043.2212915624207,3.62614611061816
1852,24510.0,Baltimore City,Maryland,US,2020-09-15,39.30211911,-76.61151012,15236,474,0,14762.0,"Baltimore City, Maryland, US",2567.187315708773,3.1110527697558417
1853,24009.0,Calvert,Maryland,US,2020-09-15,38.53961642,-76.56820632,881,28,0,853.0,"Calvert, Maryland, US",952.1750878141044,3.1782065834279227
1854,24011.0,Caroline,Maryland,US,2020-09-15,38.87172293,-75.82904158,612,3,0,609.0,"Caroline, Maryland, US",1832.0062264263904,0.4901960784313725
1855,24013.0,Carroll,Maryland,US,2020-09-15,39.56453592,-77.02373735,1871,123,0,1748.0,"Carroll, Maryland, US",1110.7351273694396,6.574024585783004
